"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"221","#Flu seasons has peaked, per @CDCFlu. Not a moment too soon. Catch @FireceHealth roundup about #influenza and 2017… https://t.co/f21BBnlLG6",FALSE,3,NA,2018-03-08 22:56:00,TRUE,NA,"971882255101693953",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","TJCommission",1,FALSE,FALSE,NA,NA
"222","RT @CDCFlu: In recent weeks, influenza B viruses have been increasing while influenza A(H3N2) viruses have been decreasing. The proportion…",FALSE,0,NA,2018-03-08 22:55:34,FALSE,NA,"971882143562448896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","coldQ1",19,TRUE,FALSE,NA,NA
"223","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 22:46:58,FALSE,NA,"971879978198446080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fcoroac",350,TRUE,FALSE,NA,NA
"224","RT @HouseCommerce: #SubOversight gets an update on seasonal flu &amp; vaccine improvements &gt;&gt; https://t.co/8D9bd1X6QR",FALSE,0,NA,2018-03-08 22:43:11,FALSE,NA,"971879029413425153",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SGottliebFDA",4,TRUE,FALSE,NA,NA
"225","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 22:41:10,FALSE,NA,"971878520090750976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HoustonHealth",350,TRUE,FALSE,NA,NA
"226","RT @CIDRAP: #FLU SCAN: #Vaccine effect after repeat vaccines; 4-strain #fluvax in youngest kids; #H5N1 #avianflu in India https://t.co/NdGG…",FALSE,0,NA,2018-03-08 22:36:10,FALSE,NA,"971877261937790982",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yna_ayt",2,TRUE,FALSE,NA,NA
"227","#FLU SCAN: #Vaccine effect after repeat vaccines; 4-strain #fluvax in youngest kids; #H5N1 #avianflu in India… https://t.co/i8ot8Ji0Dc",FALSE,0,NA,2018-03-08 22:35:44,TRUE,NA,"971877154739847168",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","CIDRAP",2,FALSE,FALSE,NA,NA
"228","RT @usmint: #OTD in 1918: first report of influenza at Camp Funston (Ft. Riley) Kansas. “Spanish flu” spreads through contact or close prox…",FALSE,0,NA,2018-03-08 22:30:04,FALSE,NA,"971875727300808704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PatriotIndiana",9,TRUE,FALSE,NA,NA
"229","RT @usmint: #OTD in 1918: first report of influenza at Camp Funston (Ft. Riley) Kansas. “Spanish flu” spreads through contact or close prox…",FALSE,0,NA,2018-03-08 22:29:53,FALSE,NA,"971875679544496128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OzarkFinesseGuy",9,TRUE,FALSE,NA,NA
"230","RT @RAPSorg: Review of This Year’s Severe Flu Season: @CDCgov, @US_FDA, @NIH and @BARDA Officials Discuss | #Regulatory Focus https://t.co/…",FALSE,0,NA,2018-03-08 22:25:09,FALSE,NA,"971874487481307137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SGottliebFDA",1,TRUE,FALSE,NA,NA
