"","lon","lat"
"1376",-79.3831843,43.653226
"1377",-81.2081203,28.669997
"1378",-82.1400923,29.1871986
"1379",-83.3099303,42.2942045
"1380",-84.1593818,39.6283928
"1381",-93.2650108,44.977753
"1382",-84.1052256,40.742551
"1383",-70.162651,18.735693
"1384",-81.3792365,28.5383355
"1385",NA,NA
"1386",-66.9036063,10.4805937
"1387",-82.0223137,26.4489695
"1388",-73.9464769,40.8115504
"1389",-94.2816148,39.0169509
"1390",11.5819805,48.1351253
"1391",-91.4984941,44.811349
"1392",-73.4085463,41.5770433
"1393",NA,NA
"1394",-81.5157535,27.6648274
"1395",-77.0368707,38.9071923
"1396",NA,NA
"1397",-94.6858998,46.729553
"1398",-82.5514869,35.5950581
"1399",-118.2200712,33.8958492
"1400",-118.2436849,34.0522342
"1401",-3.435973,55.378051
"1402",-117.5854813,47.4906163
"1403",-79.9958864,40.4406248
"1404",-117.1610838,32.715738
"1405",NA,NA
"1406",-77.0368707,38.9071923
"1407",-77.2405153,39.1547426
"1408",-77.2013705,39.1434406
"1409",-117.1610838,32.715738
"1410",-76.9423672,38.5911751
"1411",-117.1610838,32.715738
"1412",-119.045955,35.345629
"1413",NA,NA
"1414",-95.712891,37.09024
"1415",-79.0192997,35.7595731
"1416",-77.4565388,38.9531162
"1417",NA,NA
"1418",-122.2913078,37.8271784
"1419",-94.3621703,39.3677802
"1420",-77.2652604,38.9012225
"1421",46.6215777,24.6768723
"1422",-86.1089301,42.7875235
"1423",-114.3224548,34.483901
"1424",-77.0947092,38.984652
"1425",-118.2200712,33.8958492
"1426",-78.1633341,39.1856597
"1427",-120.9966033,37.7974273
"1428",NA,NA
"1429",-71.0588801,42.3600825
"1430",NA,NA
"1431",NA,NA
"1432",-117.0989358,32.7901575
"1433",-74.0059728,40.7127753
"1434",NA,NA
"1435",-94.5729781,39.1429081
"1436",NA,NA
"1437",-94.479976,39.3176186
"1438",NA,NA
"1439",-115.1398296,36.1699412
"1440",-92.4801989,44.0121221
"1441",-97.7430608,30.267153
"1442",NA,NA
"1443",-71.5723953,43.1938516
"1444",-84.3879824,33.7489954
"1445",NA,NA
"1446",-97.7430608,30.267153
"1447",-75.4901833,40.6084305
"1448",-73.9179146,41.0906519
"1449",-75.1652215,39.9525839
"1450",NA,NA
"1451",-73.212072,44.4758825
"1452",-74.0059728,40.7127753
"1453",-80.8431267,35.2270869
"1454",NA,NA
"1455",-77.0947092,38.984652
"1456",NA,NA
"1457",-95.712891,37.09024
"1458",NA,NA
"1459",NA,NA
"1460",-77.1945247,41.2033216
"1461",-85.6802541,40.1053196
"1462",-79.1096901,36.0263022
"1463",-78.6381787,35.7795897
"1464",-78.6381787,35.7795897
"1465",-78.8636402,35.8991678
"1466",-79.0192997,35.7595731
"1467",-75.4901833,40.6084305
"1468",-79.8953328,40.8611755
"1469",-89.4012302,43.0730517
"1470",-118.3900737,33.8005714
"1471",NA,NA
"1472",-93.22756,44.962562
"1473",NA,NA
"1474",-78.8636402,35.8991678
"1475",-102.4107493,34.2331373
"1476",-122.0575434,37.387474
"1477",NA,NA
"1478",-83.6324022,32.8406946
"1479",NA,NA
"1480",21.824312,39.074208
"1481",-77.1945247,41.2033216
"1482",-78.4805563,35.7876515
"1483",NA,NA
